dataset,slice_name,method,display_label,primary_quality_metric,primary_quality_score,avg_answer_latency_sec,avg_frame_ingest_latency_sec,avg_ttft_sec,peak_memory_bytes,peak_cpu_offload_bytes,total_frames_ingested,total_conversations_answered,source_path
rvs_movie,subsample5_movie,full_streaming,full_streaming,avg_judge_score,0.7733333333333335,0.5146111484000964,0.03268543882512367,0.015939243132743287,2997906432,,869,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_topk64_memavg/full_streaming/full_streaming.json
rvs_movie,subsample5_movie,duo_streaming,duo_streaming (s=0.5),avg_judge_score,0.7733333333333334,0.5029197842658808,0.024227967247483065,0.03066789466611226,3062294016,,869,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_topk64_memavg/duo_streaming/duo_streaming_s05.json
rvs_movie,subsample5_movie,rekv,"rekv (topk=64,n_local=15000)",avg_judge_score,0.7733333333333334,0.6775483731997762,0.03509033902417876,0.022808910732904527,3073405440,744210432,869,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_topk64_memavg/rekv/rekv_topk64_nlocal15000.json
rvs_movie,subsample5_movie,duo_plus_rekv,"duo_plus_rekv (topk=64,s=0.5)",avg_judge_score,0.7466666666666667,0.9062557553998583,0.03618447190557966,0.037833395200626306,3078333952,739393536,869,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_topk64_memavg/duo_plus_rekv/duo_plus_rekv_s05_sink256_recent512_topk64_nlocal15000.json
rvs_movie,subsample5_movie,duo_plus_rekv,"duo_plus_rekv (topk=64,s=0.75)",avg_judge_score,0.7733333333333334,0.8523471346670703,0.034625887254424795,0.036289836999882634,3071766016,739393536,869,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_topk64_memavg/duo_plus_rekv/duo_plus_rekv_s075_sink256_recent512_topk64_nlocal15000.json
rvs_movie,subsample5_movie_offset5,full_streaming,full_streaming,avg_judge_score,0.7466666666666667,0.3389860619330041,0.05639385431377586,0.02259047599921663,4156259328,,2164,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5_topk64_memavg/full_streaming/full_streaming.json
rvs_movie,subsample5_movie_offset5,duo_streaming,duo_streaming (s=0.5),avg_judge_score,0.7733333333333335,0.47063207626658066,0.04145318120607121,0.06414876139994401,4279611392,,2164,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5_topk64_memavg/duo_streaming/duo_streaming_s05.json
rvs_movie,subsample5_movie_offset5,rekv,"rekv (topk=64,n_local=15000)",avg_judge_score,0.7866666666666668,0.7149072100665459,0.03736213425279872,0.02165745826617543,2964370432,1536589824,2164,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5_topk64_memavg/rekv/rekv_topk64_nlocal15000.json
rvs_movie,subsample5_movie_offset5,duo_plus_rekv,"duo_plus_rekv (topk=64,s=0.5)",avg_judge_score,0.8000000000000002,1.107148526933209,0.037540581687605094,0.038545352933336594,2974434816,1531772928,2164,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5_topk64_memavg/duo_plus_rekv/duo_plus_rekv_s05_sink256_recent512_topk64_nlocal15000.json
rvs_movie,subsample5_movie_offset5,duo_plus_rekv,"duo_plus_rekv (topk=64,s=0.75)",avg_judge_score,0.8000000000000002,1.0564303070680277,0.036663632553203096,0.03606469086710907,2967933952,1531772928,2164,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5_topk64_memavg/duo_plus_rekv/duo_plus_rekv_s075_sink256_recent512_topk64_nlocal15000.json
