dataset,slice_name,method,display_label,primary_quality_metric,primary_quality_score,avg_answer_latency_sec,avg_frame_ingest_latency_sec,avg_ttft_sec,peak_memory_bytes,peak_cpu_offload_bytes,total_frames_ingested,total_conversations_answered,source_path
rvs_ego,subsample5,full_streaming,full_streaming,avg_judge_score,0.7333333333333333,0.36816545379988386,0.033241615190234296,0.015758895199542166,3406782464,,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_topk64_memavg/full_streaming/full_streaming.json
rvs_ego,subsample5,duo_streaming,duo_streaming (s=0.5),avg_judge_score,0.76,0.5182983363997967,0.025688683053854515,0.033632656800424834,3459744768,,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_topk64_memavg/duo_streaming/duo_streaming_s05.json
rvs_ego,subsample5,rekv,"rekv (topk=64,n_local=15000)",avg_judge_score,0.7733333333333334,0.4830023502661788,0.035578499171584656,0.02157498633338643,2940814848,1011548160,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_topk64_memavg/rekv/rekv_topk64_nlocal15000.json
rvs_ego,subsample5,duo_plus_rekv,"duo_plus_rekv (topk=64,s=0.5)",avg_judge_score,0.7733333333333334,0.6938255616667448,0.03639361130887419,0.03849106720008422,2951108096,1006731264,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_topk64_memavg/duo_plus_rekv/duo_plus_rekv_s05_sink256_recent512_topk64_nlocal15000.json
rvs_ego,subsample5,duo_plus_rekv,"duo_plus_rekv (topk=64,s=0.75)",avg_judge_score,0.7733333333333334,0.675465031000446,0.03748090206865131,0.03578907966633172,2944911872,1006731264,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_topk64_memavg/duo_plus_rekv/duo_plus_rekv_s075_sink256_recent512_topk64_nlocal15000.json
rvs_ego,subsample5_offset5,full_streaming,full_streaming,avg_judge_score,0.7733333333333334,0.5428910062662908,0.0342157442677168,0.015925712132351087,3358316032,,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_offset5_topk64_memavg/full_streaming/full_streaming.json
rvs_ego,subsample5_offset5,duo_streaming,duo_streaming (s=0.5),avg_judge_score,0.7733333333333335,0.8087612135333377,0.025714857640146357,0.0337204733332328,3458464256,,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_offset5_topk64_memavg/duo_streaming/duo_streaming_s05.json
rvs_ego,subsample5_offset5,rekv,"rekv (topk=64,n_local=15000)",avg_judge_score,0.7733333333333333,0.7301476338672122,0.036873660950022806,0.021972729800472733,2939141120,1011548160,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_offset5_topk64_memavg/rekv/rekv_topk64_nlocal15000.json
rvs_ego,subsample5_offset5,duo_plus_rekv,"duo_plus_rekv (topk=64,s=0.5)",avg_judge_score,0.7600000000000001,0.9715086476004217,0.03663206071174593,0.0387115332664204,2950800896,1006731264,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_offset5_topk64_memavg/duo_plus_rekv/duo_plus_rekv_s05_sink256_recent512_topk64_nlocal15000.json
rvs_ego,subsample5_offset5,duo_plus_rekv,"duo_plus_rekv (topk=64,s=0.75)",avg_judge_score,0.7733333333333335,0.8111269244659828,0.03683453476081816,0.035560667799776034,2944876032,1006731264,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_offset5_topk64_memavg/duo_plus_rekv/duo_plus_rekv_s075_sink256_recent512_topk64_nlocal15000.json
